Year,Province,Agriculture,Health,Infrastructure,Industry_Manufacturing,Education,Tourism,Social_Security,Energy,Environment_Forestry
2021,Koshi,10000,8000,15000,6000,12000,4000,3000,7000,5000
2021,Madhesh,14000,7000,12000,8000,10000,2000,3500,6000,3000
2021,Bagmati,8000,12000,25000,10000,18000,6000,5000,10000,6000
2021,Gandaki,7000,6000,10000,4000,9000,5000,2500,5000,4000
2021,Lumbini,12000,8000,13000,7000,11000,3000,3500,6000,3500
2021,Karnali,5000,4000,8000,2000,6000,1500,2000,4000,3000
2021,Sudurpashchim,6000,5000,9000,3000,7000,2000,2500,4500,3500
2022,Koshi,10500,8400,15750,6300,12600,4200,3150,7350,5250
2022,Madhesh,14700,7350,12600,8400,10500,2100,3675,6300,3150
2022,Bagmati,8400,12600,26250,10500,18900,6300,5250,10500,6300
2022,Gandaki,7350,6300,10500,4200,9450,5250,2625,5250,4200
2022,Lumbini,12600,8400,13650,7350,11550,3150,3675,6300,3675
2022,Karnali,5250,4200,8400,2100,6300,1575,2100,4200,3150
2022,Sudurpashchim,6300,5250,9450,3150,7350,2100,2625,4725,3675
2023,Koshi,11025,8820,16538,6615,13230,4410,3308,7718,5513
2023,Madhesh,15435,7718,13230,8820,11025,2205,3859,6615,3308
2023,Bagmati,8820,13230,27563,11025,19845,6615,5513,11025,6615
2023,Gandaki,7718,6615,11025,4410,9923,5513,2756,5513,4410
2023,Lumbini,13230,8820,14333,7718,12131,3308,3859,6615,3859
2023,Karnali,5513,4410,8820,2205,6615,1654,2205,4410,3308
2023,Sudurpashchim,6615,5513,9923,3308,7718,2205,2756,4961,3859
2024,Koshi,11576,9261,17365,6946,13892,4631,3473,8104,5788
2024,Madhesh,16207,8099,13892,9261,11576,2315,4052,6946,3473
2024,Bagmati,9261,13892,28941,11576,20837,6946,5788,11576,6946
2024,Gandaki,8104,6946,11576,4631,10419,5788,2894,5788,4631
2024,Lumbini,13892,9261,15049,8104,12738,3473,4052,6946,4052
2024,Karnali,5788,4631,9261,2315,6946,1736,2315,4631,3473
2024,Sudurpashchim,6946,5788,10419,3473,8104,2315,2894,5209,4052
2025,Koshi,12155,9724,18233,7293,14586,4862,3647,8509,6077
2025,Madhesh,17017,8504,14586,9724,12155,2431,4254,7293,3647
2025,Bagmati,9724,14586,30388,12155,21879,7293,6077,12155,7293
2025,Gandaki,8509,7293,12155,4862,10940,6077,3039,6077,4862
2025,Lumbini,14586,9724,15801,8509,13375,3647,4254,7293,4254
2025,Karnali,6077,4862,9724,2431,7293,1823,2431,4862,3647
2025,Sudurpashchim,7293,6077,10940,3647,8509,2431,3039,5470,4254
